0,1,2,3,4
(but potentially useful) orders located at the detector edge or at the wavelength cut-off at,,,,
"5300nm are listed; they are marked with an asterisk (*). In these orders, the target may only",,,,
"be visible at one nodding position, and these orders may not get reduced by the pipeline.",,,,
Name,,Wavelength Range Order,,Order
,,Min – Max [nm],,
Ref,,,,
Wave,Detector 1,Detector 2,Detector 3,
Y1029,949.556 - 955.964,956.425 - 962.541,962.963 - 968.753,59
,965.933 - 972.448,972.924 - 979.130,979.573 - 985.463,58
1029.310,,,,
,982.886 - 989.517,989.998 - 996.313,996.759 - 1002.754,57
,1000.440 - 1007.190,1007.674 - 1014.102,1014.553 - 1020.655,56
,1018.630 - 1025.501,1025.986 - 1032.532,1032.986 - 1039.200,55
,1037.497 - 1044.479,1044.969 - 1051.636,1052.096 - 1058.426,54
,1057.032 - 1064.166,1064.663 - 1071.457,1071.912 - 1078.362,53
,1077.359 - 1084.595,1085.091 - 1092.017,1092.500 - 1099.051,52
,1098.447 - 1105.819,1106.338 - 1113.370,1113.871 - 1120.543,51
Y1028,947.916 - 954.359,954.837 - 960.975,961.412 - 967.241,59
,964.271 - 970.826,971.305 - 977.550,977.996 - 983.926,58
1027.632,,,,
,981.198 - 987.868,988.351 - 994.706,995.153 - 1001.188,57
,998.719 - 1005.509,1005.996 - 1012.464,1012.918 - 1019.062,56
,1016.878 - 1023.792,1024.280 - 1030.868,1031.324 - 1037.580,55
,1035.698 - 1042.740,1043.233 - 1049.943,1050.403 - 1056.776,54
,1055.243 - 1062.389,1062.888 - 1069.725,1070.186 - 1076.679,53
,1075.508 - 1082.787,1083.283 - 1090.253,1090.732 - 1097.352,52
,1096.565 - 1103.982,1104.499 - 1111.578,1112.076 - 1118.795,51
J1232,1122.121 - 1129.638,1130.195 - 1137.352,1137.855 - 1144.645,50
,1145.040 - 1152.711,1153.271 - 1160.575,1161.089 - 1168.019,49
1232.490,,,,
,1168.906 - 1176.737,1177.303 - 1184.759,1185.280 - 1192.356,48
,1193.802 - 1201.786,1202.356 - 1209.966,1210.493 - 1217.720,47
,1219.734 - 1227.908,1228.475 - 1236.257,1236.797 - 1244.182,46
,1246.813 - 1255.169,1255.760 - 1263.710,1264.265 - 1271.798,45
,1275.162 - 1283.670,1284.260 - 1292.398,1292.939 - 1300.661,44
,1304.776 - 1313.473,1314.090 - 1322.387,1322.970 - 1330.842,43
J1228,1118.324 - 1125.929,1126.482 - 1133.728,1134.240 - 1141.130,50
,1141.162 - 1148.915,1149.483 - 1156.873,1157.408 - 1164.437,49
1228.488,,,,
,1164.943 - 1172.869,1173.439 - 1180.990,1181.526 - 1188.696,48
,1189.744 - 1197.829,1198.404 - 1206.117,1206.661 - 1213.979,47
,1215.616 - 1223.864,1224.448 - 1232.329,1232.882 - 1240.355,46
