0,1,2,3,4
Y1029,949.556 - 955.964,956.425 - 962.541,962.963 - 968.753,59
,965.933 - 972.448,972.924 - 979.130,979.573 - 985.463,58
1029.31,,,,
,982.886 - 989.517,989.998 - 996.313,996.759 - 1002.754,57
,1000.440 - 1007.190,1007.674 - 1014.102,1014.553 - 1020.655,56
,1018.630 - 1025.501,1025.986 - 1032.532,1032.986 - 1039.200,55
,1037.497 - 1044.479,1044.969 - 1051.636,1052.096 - 1058.426,54
,1057.032 - 1064.166,1064.663 - 1071.457,1071.912 - 1078.362,53
,1077.359 - 1084.595,1085.091 - 1092.017,1092.500 - 1099.051,52
,1098.447 - 1105.819,1106.338 - 1113.370,1113.871 - 1120.543,51
Y1028,947.916 - 954.359,954.837 - 960.975,961.412 - 967.241,59
,964.271 - 970.826,971.305 - 977.550,977.996 - 983.926,58
1027.632,,,,
,981.198 - 987.868,988.351 - 994.706,995.153 - 1001.188,57
,998.719 - 1005.509,1005.996 - 1012.464,1012.918 - 1019.062,56
,1016.878 - 1023.792,1024.280 - 1030.868,1031.324 - 1037.580,55
,1035.698 - 1042.740,1043.233 - 1049.943,1050.403 - 1056.776,54
,1055.243 - 1062.389,1062.888 - 1069.725,1070.186 - 1076.679,53
,1075.508 - 1082.787,1083.283 - 1090.253,1090.732 - 1097.352,52
,1096.565 - 1103.982,1104.499 - 1111.578,1112.076 - 1118.795,51
J1232,1122.121 - 1129.638,1130.195 - 1137.352,1137.855 - 1144.645,50
,1145.040 - 1152.711,1153.271 - 1160.575,1161.089 - 1168.019,49
1232.49,,,,
,1168.906 - 1176.737,1177.303 - 1184.759,1185.280 - 1192.356,48
,1193.802 - 1201.786,1202.356 - 1209.966,1210.493 - 1217.720,47
,1219.734 - 1227.908,1228.475 - 1236.257,1236.797 - 1244.182,46
,1246.813 - 1255.169,1255.760 - 1263.710,1264.265 - 1271.798,45
,1275.162 - 1283.670,1284.260 - 1292.398,1292.939 - 1300.661,44
,1304.776 - 1313.473,1314.090 - 1322.387,1322.970 - 1330.842,43
J1228,1118.324 - 1125.929,1126.482 - 1133.728,1134.240 - 1141.130,50
,1141.162 - 1148.915,1149.483 - 1156.873,1157.408 - 1164.437,49
1228.488,,,,
,1164.943 - 1172.869,1173.439 - 1180.990,1181.526 - 1188.696,48
,1189.744 - 1197.829,1198.404 - 1206.117,1206.661 - 1213.979,47
,1215.616 - 1223.864,1224.448 - 1232.329,1232.882 - 1240.355,46
,1242.588 - 1251.044,1251.638 - 1259.696,1260.256 - 1267.894,45
,1270.837 - 1279.443,1280.047 - 1288.288,1288.857 - 1296.658,44
,1300.359 - 1309.164,1309.780 - 1318.214,1318.757 - 1326.768,43
J1226,1116.376 - 1124.028,1124.586 - 1131.879,1132.404 - 1139.333,50
,1139.175 - 1146.984,1147.551 - 1154.994,1155.521 - 1162.592,49
1226.466,,,,
,1162.922 - 1170.895,1171.466 - 1179.065,1179.598 - 1186.818,48
,1187.667 - 1195.821,1196.391 - 1204.153,1204.700 - 1212.078,47
,1213.484 - 1221.805,1222.389 - 1230.320,1230.864 - 1238.399,46
,1240.463 - 1248.942,1249.534 - 1257.642,1258.205 - 1265.874,45
,1268.607 - 1277.307,1277.901 - 1286.194,1286.754 - 1294.634,44
,1298.103 - 1306.964,1307.579 - 1316.065,1316.608 - 1324.672,43
,1328.957 - 1338.011*,1338.632 - 1347.322*,1347.898 - 1356.153*,42*
H1582,1445.821 - 1455.285,1455.997 - 1464.977,1465.616 - 1474.154,39
,1483.892 - 1493.603,1494.303 - 1503.554,1504.199 - 1512.957,38
1582.339,,,,
,1524.015 - 1533.983,1534.701 - 1544.194,1544.850 - 1553.844,37
,1566.354 - 1576.591,1577.323 - 1587.075,1587.758 - 1596.996,36
,1611.095 - 1621.618,1622.371 - 1632.402,1633.094 - 1642.589,35
,1658.462 - 1669.283,1670.056 - 1680.367,1681.086 - 1690.855,34
,1708.669 - 1719.799,1720.597 - 1731.211,1731.958 - 1741.961,33
,1761.982 - 1773.455,1774.278 - 1785.215,1785.982 - 1796.351,32
H1575,1438.650 - 1448.286*,1448.984 - 1458.174*,1458.811 - 1467.526*,39*
,1476.533 - 1486.418,1487.132 - 1496.560,1497.215 - 1506.156,38
1574.798,,,,
,1516.458 - 1526.606,1527.336 - 1537.013,1537.687 - 1546.865,37
,1558.590 - 1569.013,1569.759 - 1579.700,1580.393 - 1589.821,36
,1603.114 - 1613.827,1614.592 - 1624.811,1625.523 - 1635.215,35
,1650.240 - 1661.261,1662.046 - 1672.557,1673.292 - 1683.262,34
,1700.203 - 1711.547,1712.355 - 1723.176,1723.934 - 1734.198,33
,1753.257 - 1764.944,1765.777 - 1776.926,1777.710 - 1788.285,32
H1567,1431.243 - 1441.052*,1441.763 - 1451.128*,1451.778 - 1460.671*,39*
,1468.933 - 1478.995,1479.723 - 1489.331,1489.999 - 1499.122,38
1567.099,,,,
,1508.653 - 1518.982,1519.727 - 1529.590,1530.277 - 1539.643,37
,1550.568 - 1561.178,1561.942 - 1572.073,1572.779 - 1582.399,36
,1594.864 - 1605.770,1606.553 - 1616.967,1617.693 - 1627.582,35
,1641.751 - 1652.969,1653.772 - 1664.484,1665.232 - 1675.405,34
,1691.460 - 1703.010,1703.833 - 1714.861,1715.631 - 1726.104,33
,1744.249 - 1756.148,1756.992 - 1768.353,1769.149 - 1779.939,32
H1559,1461.252 - 1471.490,1472.229 - 1482.015,1482.697 - 1492.000,38
,1500.764 - 1511.273,1512.031 - 1522.076,1522.777 - 1532.327,37
1559.245,,,,
,1542.463 - 1553.258,1554.034 - 1564.353,1565.073 - 1574.883,36
,1586.530 - 1597.627,1598.423 - 1609.030,1609.771 - 1619.855,35
,1633.173 - 1644.588,1645.406 - 1656.317,1657.080 - 1667.454,34
,1682.625 - 1694.376,1695.216 - 1706.449,1707.237 - 1717.917,33
,1735.145 - 1747.251,1748.115 - 1759.689,1760.499 - 1771.503,32
K2217,1968.506 - 1980.625,1981.503 - 1993.009,1993.799 - 2004.659,29
,2038.848 - 2051.392,2052.295 - 2064.205,2065.026 - 2076.268,28
2216.704,,,,
,2114.377 - 2127.377,2128.310 - 2140.654,2141.507 - 2153.159,27
,2195.687 - 2209.178,2210.143 - 2222.954,2223.843 - 2235.935,26
,2283.474 - 2297.492,2298.491 - 2311.803,2312.734 - 2325.300,25
,2378.532 - 2393.120,2394.150 - 2408.003,2408.983 - 2422.059,24
K2192,1945.903 - 1958.593,1959.513 - 1971.602,1972.427 - 1983.862,29
,2015.429 - 2028.567,2029.515 - 2042.023,2042.891 - 2054.735,28
2192.449,,,,
,2090.110 - 2103.732,2104.689 - 2117.655,2118.558 - 2130.829,27
,2170.514 - 2184.625,2185.627 - 2199.084,2200.025 - 2212.757,26
,2257.283 - 2271.974,2273.005 - 2286.985,2287.961 - 2301.199,25
